i,orig_real,orig_imag,orig_abs,mod_real,mod_imag,mod_abs
1,1.0000000000000027,0.0,1.0000000000000027,1.0000000000000013,0.0,1.0000000000000013
2,0.8071155548530927,0.0,0.8071155548530927,0.6768928631385995,0.0,0.6768928631385995
3,0.6856259658985652,0.0,0.6856259658985652,-0.5744390476455212,0.0,0.5744390476455212
4,-0.6620874258250099,0.0,0.6620874258250099,0.5342934723321016,0.0,0.5342934723321016
5,-0.5084042176731683,0.0,0.5084042176731683,-0.4576001058805723,0.0,0.4576001058805723
6,-0.46237487574900127,0.0,0.46237487574900127,-0.3965658350742667,0.0,0.3965658350742667
7,-0.39011216699403634,0.0,0.39011216699403634,-0.37149819402052703,0.0,0.37149819402052703
8,0.30972779110306964,0.0,0.30972779110306964,-0.33466317259883,0.0,0.33466317259883
9,-0.2833333333333333,0.0,0.2833333333333333,0.3059148323404489,0.0,0.3059148323404489
10,-0.27793767124644353,0.0,0.27793767124644353,-0.23057191780469524,0.0,0.23057191780469524
11,-0.15100132828728122,0.0,0.15100132828728122,0.21919309446467597,0.0,0.21919309446467597
12,0.13240177236553613,0.0,0.13240177236553613,-0.12993174764247334,0.0,0.12993174764247334
13,-0.0496200651119883,0.0,0.0496200651119883,-0.07774997088822175,0.0,0.07774997088822175
14,-4.6188069639892344e-17,0.0,4.6188069639892344e-17,-0.013274270720714257,0.0,0.013274270720714257
