p_mean,p_std,r_mean,r_std,k
0.2417197452229299,0.004435792444963094,0.04942397128702862,0.0009446128510853454,2
0.19199840764331208,0.003060917742073515,0.07823640177939542,0.001208674168687013,4
0.16391542816702054,0.002964133627088555,0.09990938732180771,0.001738103496310623,6
0.14476512738853503,0.0018734291483127603,0.11747261820510228,0.0014201109985770126,8
0.13083333333333336,0.002007246856523203,0.13266799784315705,0.0019855017818443703,10
0.12035120311394198,0.0018536851456507526,0.1463268164661477,0.0022227104018317265,12
0.11193509250834091,0.0017907100761914106,0.15873734118558963,0.002516715122051263,14
0.10481356157112527,0.0013908811633934247,0.16979838573787617,0.0022629290593328966,16
0.0989059919792404,0.0013454745457321736,0.1802100604927038,0.0024466196575440606,18
0.09393842887473461,0.0010668789808917212,0.19014358591985983,0.002145471977199568,20
