p_mean,p_std,r_mean,r_std,factors
0.12480360934182592,0.0027288831260691686,0.12658060357901124,0.0025572831747823817,10
0.13026008492569002,0.0024783139014796078,0.13199168857210258,0.0024021863610622167,20
0.1304723991507431,0.002325961445466341,0.1323585624978937,0.0023184184270957937,30
0.13094479830148625,0.003034032677028446,0.13272979644794933,0.003004205352173794,40
0.13089702760084926,0.0021048107234250945,0.13270203552050686,0.0020475264245100305,50
0.13057855626326967,0.0021990734760085327,0.13239354800660535,0.0022596370245095273,60
0.13056263269639065,0.003971453780370599,0.13227549034475788,0.003892544346551777,70
0.13090764331210192,0.0013148170157718173,0.13268895544771342,0.0012462664310592961,80
0.13028662420382164,0.0029087048832271856,0.1320088759141307,0.003000358582881101,90
0.1292356687898089,0.0029034309899153626,0.13096038486165876,0.0028587141655957763,100
