p_mean,p_std,r_mean,r_std,factors
0.2003046357615894,0.0025836855269466188,0.08352017231689438,0.001302184547818274,10
0.22332781456953646,0.0021689752769518725,0.0994646640993464,0.001423724266166432,20
0.22816225165562914,0.0014669285270725685,0.10423244049078859,0.0010167933946244503,30
0.22843046357615893,0.001439803485706555,0.10557811106431529,0.001009224372576179,40
0.22798344370860923,0.0018677639490051064,0.10615045939070825,0.00102054731770437,50
0.2268245033112583,0.0021439317009780937,0.10604875108811229,0.0012711939397453136,60
0.22708443708609277,0.001666675895037526,0.10660002189837618,0.001508982551276849,70
0.22568543046357617,0.0021969418881543543,0.10637153016570114,0.0012569049278179692,80
0.22581456953642384,0.0019204413087628052,0.10646055961282146,0.0012878495224322778,90
0.225273178807947,0.0015215447973156017,0.10656592179947799,0.001285766012382379,100
