p_mean,p_std,r_mean,r_std,k
0.299205298013245,0.0025084830419230095,0.030025939589587047,0.0005914744762063015,2
0.27232201986754967,0.0019282971568776882,0.053227531099762845,0.000592594274621828,4
0.2530546357615894,0.002345054176055729,0.07274045794127956,0.0007803803754387395,6
0.23891349337748347,0.00218400425222977,0.09019427627761803,0.0009609728657339479,8
0.2281324503311258,0.0017417785098936386,0.10626598874879589,0.000835223197974788,10
0.21874448123620308,0.0017520358505201366,0.12109825210207559,0.0009143786283729067,12
0.2104541154210028,0.0016368289940317383,0.13453567321840804,0.0011496339439514486,14
0.20364755794701989,0.0013795695742003444,0.14763844858416053,0.0011631054899601452,16
0.19738134657836642,0.0012048321441518153,0.15984720617408157,0.001143322519158609,18
0.1918046357615894,0.0012727739863994886,0.17118281514156936,0.0014227739754684744,20
